{'raw_data_ac_y': 0.044921875, 'raw_data_ac_x': -0.04345703125, 'raw_data_ac_z': 0.392578125}
{'raw_data_ac_y': -0.205078125, 'raw_data_ac_x': -0.04345703125, 'raw_data_ac_z': 10.16650390625}
{'raw_data_ac_y': 0.1708984375, 'raw_data_ac_x': -0.05908203125, 'raw_data_ac_z': 0.5361328125}
{'raw_data_ac_y': 0.2939453125, 'raw_data_ac_x': -0.052734375, 'raw_data_ac_z': -0.0048828125}
{'raw_data_ac_y': 0.30810546875, 'raw_data_ac_x': -0.00927734375, 'raw_data_ac_z': -0.0712890625}
{'raw_data_ac_y': 0.25927734375, 'raw_data_ac_x': -0.583984375, 'raw_data_ac_z': -0.31689453125}
{'raw_data_ac_y': 0.15283203125, 'raw_data_ac_x': -0.59716796875, 'raw_data_ac_z': -0.44677734375}
{'raw_data_ac_y': 0.01904296875, 'raw_data_ac_x': -0.0234375, 'raw_data_ac_z': -0.05712890625}
{'raw_data_ac_y': -0.0693359375, 'raw_data_ac_x': -0.0322265625, 'raw_data_ac_z': -0.62109375}
{'raw_data_ac_y': -0.23193359375, 'raw_data_ac_x': -0.00390625, 'raw_data_ac_z': -0.02197265625}
{'raw_data_ac_y': -2.20947265625, 'raw_data_ac_x': -0.748046875, 'raw_data_ac_z': -0.03857421875}
{'raw_data_ac_y': 0.0400390625, 'raw_data_ac_x': -0.04296875, 'raw_data_ac_z': 0.39697265625}
{'raw_data_ac_y': 0.0400390625, 'raw_data_ac_x': -0.04296875, 'raw_data_ac_z': 0.39697265625}
{'raw_data_ac_y': 0.03955078125, 'raw_data_ac_x': -0.041015625, 'raw_data_ac_z': 0.396484375}
{'raw_data_ac_y': 0.0390625, 'raw_data_ac_x': -0.04052734375, 'raw_data_ac_z': 0.39892578125}
{'raw_data_ac_y': 0.03955078125, 'raw_data_ac_x': -0.04248046875, 'raw_data_ac_z': 0.39794921875}
{'raw_data_ac_y': 0.0400390625, 'raw_data_ac_x': -0.04150390625, 'raw_data_ac_z': 0.396484375}
{'raw_data_ac_y': 0.0390625, 'raw_data_ac_x': -0.04248046875, 'raw_data_ac_z': 0.396484375}
{'raw_data_ac_y': 0.0400390625, 'raw_data_ac_x': -0.04345703125, 'raw_data_ac_z': 0.39501953125}
{'raw_data_ac_y': 0.03955078125, 'raw_data_ac_x': -0.04296875, 'raw_data_ac_z': 0.3955078125}
{'raw_data_ac_y': 0.04150390625, 'raw_data_ac_x': -0.04248046875, 'raw_data_ac_z': 0.396484375}
{'raw_data_ac_y': 0.04052734375, 'raw_data_ac_x': -0.04248046875, 'raw_data_ac_z': 0.396484375}
{'raw_data_ac_y': 0.03857421875, 'raw_data_ac_x': -0.04248046875, 'raw_data_ac_z': 0.3955078125}
{'raw_data_ac_y': 0.0400390625, 'raw_data_ac_x': -0.04248046875, 'raw_data_ac_z': 0.396484375}
{'raw_data_ac_y': 0.04052734375, 'raw_data_ac_x': -0.04345703125, 'raw_data_ac_z': 0.39501953125}
{'raw_data_ac_y': 0.03955078125, 'raw_data_ac_x': -0.04150390625, 'raw_data_ac_z': 0.39599609375}
{'raw_data_ac_y': 0.0390625, 'raw_data_ac_x': -0.04443359375, 'raw_data_ac_z': 0.39599609375}
{'raw_data_ac_y': 0.0390625, 'raw_data_ac_x': -0.04345703125, 'raw_data_ac_z': 0.39404296875}
{'raw_data_ac_y': 0.0400390625, 'raw_data_ac_x': -0.04248046875, 'raw_data_ac_z': 0.3935546875}
{'raw_data_ac_y': 0.0400390625, 'raw_data_ac_x': -0.0419921875, 'raw_data_ac_z': 0.3974609375}
{'raw_data_ac_y': 0.04052734375, 'raw_data_ac_x': -0.04248046875, 'raw_data_ac_z': 0.3994140625}
{'raw_data_ac_y': 0.03955078125, 'raw_data_ac_x': -0.04296875, 'raw_data_ac_z': 0.3955078125}
{'raw_data_ac_y': 0.041015625, 'raw_data_ac_x': -0.04150390625, 'raw_data_ac_z': 0.39599609375}
{'raw_data_ac_y': 0.0390625, 'raw_data_ac_x': -0.04248046875, 'raw_data_ac_z': 0.396484375}
{'raw_data_ac_y': 0.0390625, 'raw_data_ac_x': -0.04248046875, 'raw_data_ac_z': 0.39599609375}
{'raw_data_ac_y': 0.0380859375, 'raw_data_ac_x': -0.04248046875, 'raw_data_ac_z': 0.39892578125}
{'raw_data_ac_y': 0.03955078125, 'raw_data_ac_x': -0.0419921875, 'raw_data_ac_z': 0.3955078125}
{'raw_data_ac_y': 0.0400390625, 'raw_data_ac_x': -0.04248046875, 'raw_data_ac_z': 0.39697265625}
{'raw_data_ac_y': 0.0400390625, 'raw_data_ac_x': -0.04345703125, 'raw_data_ac_z': 0.39599609375}
{'raw_data_ac_y': 0.04052734375, 'raw_data_ac_x': -0.0439453125, 'raw_data_ac_z': 0.39453125}
{'raw_data_ac_y': 0.04052734375, 'raw_data_ac_x': -0.0380859375, 'raw_data_ac_z': 0.3935546875}
{'raw_data_ac_y': 0.0400390625, 'raw_data_ac_x': -0.04150390625, 'raw_data_ac_z': 0.39501953125}
{'raw_data_ac_y': 0.04052734375, 'raw_data_ac_x': -0.04296875, 'raw_data_ac_z': 0.3994140625}
{'raw_data_ac_y': 0.0390625, 'raw_data_ac_x': -0.04345703125, 'raw_data_ac_z': 0.39453125}
{'raw_data_ac_y': 0.0390625, 'raw_data_ac_x': -0.041015625, 'raw_data_ac_z': 0.3935546875}
{'raw_data_ac_y': 0.03857421875, 'raw_data_ac_x': -0.04052734375, 'raw_data_ac_z': 0.39404296875}
{'raw_data_ac_y': 0.03857421875, 'raw_data_ac_x': -0.0419921875, 'raw_data_ac_z': 0.3984375}
{'raw_data_ac_y': 0.0400390625, 'raw_data_ac_x': -0.04345703125, 'raw_data_ac_z': 0.396484375}
{'raw_data_ac_y': 0.03955078125, 'raw_data_ac_x': -0.0439453125, 'raw_data_ac_z': 0.39306640625}
{'raw_data_ac_y': 0.03759765625, 'raw_data_ac_x': -0.04150390625, 'raw_data_ac_z': 0.39306640625}
{'raw_data_ac_y': 0.0380859375, 'raw_data_ac_x': -0.0419921875, 'raw_data_ac_z': 0.3955078125}
{'raw_data_ac_y': 0.03955078125, 'raw_data_ac_x': -0.044921875, 'raw_data_ac_z': 0.3974609375}
{'raw_data_ac_y': 0.03955078125, 'raw_data_ac_x': -0.04296875, 'raw_data_ac_z': 0.39306640625}
{'raw_data_ac_y': 0.03759765625, 'raw_data_ac_x': -0.0400390625, 'raw_data_ac_z': 0.3935546875}
{'raw_data_ac_y': 0.03857421875, 'raw_data_ac_x': -0.0400390625, 'raw_data_ac_z': 0.39501953125}
{'raw_data_ac_y': 0.04248046875, 'raw_data_ac_x': -0.04296875, 'raw_data_ac_z': 0.396484375}
{'raw_data_ac_y': 0.04150390625, 'raw_data_ac_x': -0.04150390625, 'raw_data_ac_z': 0.39453125}
{'raw_data_ac_y': 0.04150390625, 'raw_data_ac_x': -0.0419921875, 'raw_data_ac_z': 0.39599609375}
{'raw_data_ac_y': 0.03955078125, 'raw_data_ac_x': -0.0419921875, 'raw_data_ac_z': 0.3935546875}
{'raw_data_ac_y': 0.04150390625, 'raw_data_ac_x': -0.04248046875, 'raw_data_ac_z': 0.39599609375}
{'raw_data_ac_y': 0.04052734375, 'raw_data_ac_x': -0.04248046875, 'raw_data_ac_z': 0.3955078125}
{'raw_data_ac_y': 0.03955078125, 'raw_data_ac_x': -0.04296875, 'raw_data_ac_z': 0.39599609375}
{'raw_data_ac_y': 0.0380859375, 'raw_data_ac_x': -0.04296875, 'raw_data_ac_z': 0.3955078125}
{'raw_data_ac_y': 0.0390625, 'raw_data_ac_x': -0.04248046875, 'raw_data_ac_z': 0.39697265625}
{'raw_data_ac_y': 0.03955078125, 'raw_data_ac_x': -0.04248046875, 'raw_data_ac_z': 0.3974609375}
{'raw_data_ac_y': 0.03955078125, 'raw_data_ac_x': -0.04296875, 'raw_data_ac_z': 0.39990234375}
{'raw_data_ac_y': 0.041015625, 'raw_data_ac_x': -0.04296875, 'raw_data_ac_z': 0.3994140625}
{'raw_data_ac_y': 0.03955078125, 'raw_data_ac_x': -0.04345703125, 'raw_data_ac_z': 0.3974609375}
{'raw_data_ac_y': 0.0380859375, 'raw_data_ac_x': -0.04248046875, 'raw_data_ac_z': 0.39453125}
{'raw_data_ac_y': 0.0400390625, 'raw_data_ac_x': -0.04150390625, 'raw_data_ac_z': 0.39599609375}
{'raw_data_ac_y': 0.0419921875, 'raw_data_ac_x': -0.0419921875, 'raw_data_ac_z': 0.392578125}
