{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7718505859375, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7718505859375, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7718505859375, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7718505859375, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.77734375, 'raw_data_an_x': 17.5177001953125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.5177001953125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.5177001953125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.5177001953125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.5177001953125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.5177001953125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.5177001953125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.5177001953125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.5177001953125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.5177001953125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
