{'raw_data_an_x': -0.560302734375, 'raw_data_an_z': -0.428466796875, 'raw_data_an_y': -0.604248046875}
{'raw_data_an_x': -0.5657958984375, 'raw_data_an_z': -0.4229736328125, 'raw_data_an_y': -0.63720703125}
{'raw_data_an_x': -0.5877685546875, 'raw_data_an_z': -0.41748046875, 'raw_data_an_y': -0.6536865234375}
{'raw_data_an_x': -0.626220703125, 'raw_data_an_z': -0.406494140625, 'raw_data_an_y': -0.648193359375}
{'raw_data_an_x': -0.6646728515625, 'raw_data_an_z': -0.384521484375, 'raw_data_an_y': -0.6427001953125}
{'raw_data_an_x': -0.6976318359375, 'raw_data_an_z': -0.362548828125, 'raw_data_an_y': -0.6536865234375}
{'raw_data_an_x': 65.3741455078125, 'raw_data_an_z': -0.3515625, 'raw_data_an_y': -0.6756591796875}
{'raw_data_an_x': 65.357666015625, 'raw_data_an_z': -0.3515625, 'raw_data_an_y': -0.703125}
{'raw_data_an_x': 65.3466796875, 'raw_data_an_z': -0.3570556640625, 'raw_data_an_y': 0.68115234375}
{'raw_data_an_x': 65.3411865234375, 'raw_data_an_z': -0.3570556640625, 'raw_data_an_y': 0.6866455078125}
{'raw_data_an_x': 65.335693359375, 'raw_data_an_z': -0.3515625, 'raw_data_an_y': -0.6976318359375}
{'raw_data_an_x': 65.3411865234375, 'raw_data_an_z': -0.340576171875, 'raw_data_an_y': -0.6756591796875}
{'raw_data_an_x': 65.357666015625, 'raw_data_an_z': -0.3350830078125, 'raw_data_an_y': -0.670166015625}
{'raw_data_an_x': 65.3851318359375, 'raw_data_an_z': -0.32958984375, 'raw_data_an_y': -0.6756591796875}
{'raw_data_an_x': -0.692138671875, 'raw_data_an_z': -0.32958984375, 'raw_data_an_y': -0.692138671875}
{'raw_data_an_x': -0.68115234375, 'raw_data_an_z': -0.32958984375, 'raw_data_an_y': -0.6976318359375}
{'raw_data_an_x': -0.68115234375, 'raw_data_an_z': -0.3240966796875, 'raw_data_an_y': -0.68115234375}
{'raw_data_an_x': -0.6866455078125, 'raw_data_an_z': -0.3076171875, 'raw_data_an_y': -0.6536865234375}
{'raw_data_an_x': -0.6866455078125, 'raw_data_an_z': -0.2911376953125, 'raw_data_an_y': -0.63720703125}
{'raw_data_an_x': -0.68115234375, 'raw_data_an_z': -0.274658203125, 'raw_data_an_y': -0.63720703125}
{'raw_data_an_x': -0.6591796875, 'raw_data_an_z': -0.2581787109375, 'raw_data_an_y': -0.6536865234375}
{'raw_data_an_x': -0.6317138671875, 'raw_data_an_z': -0.2471923828125, 'raw_data_an_y': -0.6756591796875}
{'raw_data_an_x': -0.604248046875, 'raw_data_an_z': -0.2362060546875, 'raw_data_an_y': -0.6866455078125}
{'raw_data_an_x': -0.582275390625, 'raw_data_an_z': -0.2252197265625, 'raw_data_an_y': -0.6976318359375}
{'raw_data_an_x': -0.582275390625, 'raw_data_an_z': -0.208740234375, 'raw_data_an_y': -0.703125}
{'raw_data_an_x': -0.5987548828125, 'raw_data_an_z': -0.19775390625, 'raw_data_an_y': 0.692138671875}
